antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'을지로'}),frozenset({'명동'}),0.31125827814569534,0.2251655629139073,0.17218543046357615,0.5531914893617021,2.4568210262828534,0.10210078505328712,1.7341532639545885,0.8609467455621301
frozenset({'명동'}),frozenset({'을지로'}),0.2251655629139073,0.31125827814569534,0.17218543046357615,0.7647058823529411,2.4568210262828534,0.10210078505328712,2.927152317880794,0.7652859960552268
frozenset({'잠실'}),frozenset({'건대'}),0.26490066225165565,0.18543046357615894,0.10596026490066225,0.39999999999999997,2.157142857142857,0.05683961229770624,1.3576158940397347,0.7297297297297297
frozenset({'건대'}),frozenset({'잠실'}),0.18543046357615894,0.26490066225165565,0.10596026490066225,0.5714285714285714,2.157142857142857,0.05683961229770624,1.71523178807947,0.6585365853658537
frozenset({'망원'}),frozenset({'상암'}),0.16556291390728478,0.2251655629139073,0.11258278145695365,0.6799999999999999,3.0199999999999996,0.0753037147493531,2.4213576158940393,0.8015873015873015
frozenset({'상암'}),frozenset({'망원'}),0.2251655629139073,0.16556291390728478,0.11258278145695365,0.5,3.0199999999999996,0.0753037147493531,1.6688741721854305,0.8632478632478632
frozenset({'이대'}),frozenset({'신촌'}),0.25165562913907286,0.2980132450331126,0.16556291390728478,0.6578947368421053,2.2076023391812867,0.09056620323670014,2.0519612837493635,0.7309734513274335
frozenset({'신촌'}),frozenset({'이대'}),0.2980132450331126,0.25165562913907286,0.16556291390728478,0.5555555555555556,2.2076023391812867,0.09056620323670014,1.6837748344370862,0.7792452830188679
frozenset({'이대'}),frozenset({'연희'}),0.25165562913907286,0.271523178807947,0.15894039735099338,0.631578947368421,2.3260590500641847,0.0906100609622385,1.9772942289498578,0.7617994100294985
frozenset({'연희'}),frozenset({'이대'}),0.271523178807947,0.25165562913907286,0.15894039735099338,0.5853658536585367,2.326059050064185,0.0906100609622385,1.804830541488119,0.7825757575757577
